
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
鱼跃医疗,4.7068,医疗器械,5.0518,0.9317,15.32,53.4146,0.2868,36.92,34569615690.28,2025-09-04,31.53,1447204585636.84,47.83,58.85,43.0,36.77,30.08,47068.0,1532.0,17.17,51.83
影视ETF,7.4984,,,,,,,10.81,73077212.5,2025-09-04,,,,,,,,,,17.17,51.83
瑞普生物,5.1413,农药兽药,2.6398,1.9476,19.4,41.6102,0.4662,21.28,7174886489.82,2025-09-04,11.02,337410917835.54,28.29,36.16,23.0,21.42,32.07,51413.0,1940.0,17.17,51.83
伊利股份,50.115,食品饮料,5.7758,8.6767,12.37,40.0301,0.309,27.91,177237060943.36,2025-09-04,20.04,1729521532639.76,,,,,,,,17.17,51.83
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,4.7144,专用设备,6.0037,0.7853,29.14,84.3305,0.3455,19.8,8672531300.0,2025-09-05,15.74,1991657745374.95,18.12,21.0,15.0,20.0,-9.4,47144.0,2914.0,16.35,57.14
鱼跃医疗,3.7416,医疗器械,5.0992,0.7338,15.42,54.1887,0.2846,36.77,34785852068.0,2025-09-05,31.98,1467834741322.73,47.83,58.85,43.0,37.0,29.27,37416.0,1542.0,16.35,57.14
影视ETF,5.8549,,,,,,,10.55,75917180.0,2025-09-05,,,,,,,,,,16.35,57.14
瑞普生物,3.627,农药兽药,2.689,1.3488,19.59,42.1817,0.4644,21.42,7245228514.23,2025-09-05,11.2,342894604481.41,28.29,36.16,23.0,21.63,30.79,36270.0,1959.0,16.35,57.14
伊利股份,27.9106,食品饮料,5.8012,4.8112,12.38,40.0737,0.3089,28.16,177362939537.78,2025-09-05,20.12,1736740019121.44,,,,,,,,16.35,57.14
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,4.7144,专用设备,6.0038,0.7852,29.14,84.334,0.3455,19.8,8672531300.0,2025-09-06,15.74,1991724690633.83,18.12,21.0,15.0,20.0,-9.4,47144.0,2914.0,15.3,53.06
鱼跃医疗,3.7416,医疗器械,5.0993,0.7337,15.42,54.1887,0.2846,36.77,34785852068.0,2025-09-06,31.98,1467786572462.73,47.83,58.85,43.0,37.0,29.27,37416.0,1542.0,15.3,53.06
影视ETF,5.8549,,,,,,,10.55,75917180.0,2025-09-06,,,,,,,,,,15.3,53.06
瑞普生物,3.627,农药兽药,2.689,1.3488,19.59,42.1817,0.4644,21.42,7245228514.23,2025-09-06,11.2,342894604481.41,28.29,36.16,23.0,21.63,30.79,36270.0,1959.0,15.3,53.06
伊利股份,27.9106,食品饮料,5.8012,4.8112,12.38,40.0737,0.3089,28.16,177362939537.78,2025-09-06,20.12,1736740019121.44,,,,,,,,15.3,53.06
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,4.7144,专用设备,6.0038,0.7852,29.14,84.334,0.3455,19.8,8672531300.0,2025-09-07,15.74,1991724690633.83,18.12,21.0,15.0,20.0,-9.4,47144.0,2914.0,15.3,53.06
鱼跃医疗,3.7416,医疗器械,5.0993,0.7337,15.42,54.1887,0.2846,36.77,34785852068.0,2025-09-07,31.98,1467786572462.73,47.83,58.85,43.0,37.0,29.27,37416.0,1542.0,15.3,53.06
影视ETF,5.8549,,,,,,,10.55,75917180.0,2025-09-07,,,,,,,,,,15.3,53.06
瑞普生物,3.627,农药兽药,2.689,1.3488,19.59,42.1817,0.4644,21.42,7245228514.23,2025-09-07,11.2,342894604481.41,28.29,36.16,23.0,21.63,30.79,36270.0,1959.0,15.3,53.06
伊利股份,27.9106,食品饮料,5.8012,4.8112,12.38,40.0737,0.3089,28.16,177362939537.78,2025-09-07,20.12,1736740019121.44,,,,,,,,15.3,53.06
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,7.3384,专用设备,6.01,1.221,29.72,85.0966,0.3493,20.0,8845981926.0,2025-09-08,15.95,2018295040314.46,19.12,21.0,16.6,20.4,-6.27,73384.0,2972.0,15.3,53.06
鱼跃医疗,10.2354,医疗器械,5.3034,1.93,16.67,56.5593,0.2947,37.0,37606326560.0,2025-09-08,33.33,1529543638499.09,47.83,58.85,43.0,40.0,19.57,102354.0,1667.0,15.3,53.06
影视ETF,6.0148,,,,,,,10.96,78341542.5,2025-09-08,,,,,,,,,,15.3,53.06
瑞普生物,5.5565,农药兽药,2.7789,1.9995,20.28,43.2589,0.4688,21.63,7499799650.19,2025-09-08,11.52,352737478825.14,28.29,36.16,23.0,22.39,26.35,55565.0,2028.0,15.3,53.06
伊利股份,45.1822,食品饮料,5.8588,7.7119,12.39,40.7211,0.3043,28.18,177551757429.41,2025-09-08,20.38,1759459808669.63,,,,,,,,15.3,53.06
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,5.9482,专用设备,5.9944,0.9923,29.14,84.4112,0.3452,20.4,8672531300.0,2025-09-09,15.82,2001191148450.25,19.12,21.0,16.6,20.0,-4.4,59482.0,2914.0,15.18,51.57
鱼跃医疗,14.7984,医疗器械,5.1671,2.864,16.87,55.1258,0.306,40.0,38048200897.08,2025-09-09,32.64,1497801204276.49,47.83,58.85,43.0,40.47,18.19,147984.0,1687.0,15.18,51.57
影视ETF,7.6451,,,,,,,11.31,77856670.0,2025-09-09,,,,,,,,,,15.18,51.57
